PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr              Process
16722      1648  623377      285032      7ffebbbe80e0/0             ipv6_dummy
16723    165624  5406529     2219816     7ffc9519b530/0             otm
16724    114896  3706827     1618232     7ffe41e1a6b0/0             pltfm_config
16725    179368  11278336    1839552     7fffdefab230/0             snmpd
16726      1648  623377      285032      7fff5938a980/0             tcpudp_dummy
16729    108332  838358      453688      7fff2e55eb90/0             dcos-xinetd
16791    113156  1094078     538260      7fff21f942a0/0             callhome
17316    108188  0           453932      7ffc035ee580/0             dcos_sshd
17494    108188  0           453932      7ffc035ee580/0             dcos_sshd
17497    118520  0           751092      7ffe139d6760/0             vsh.bin
17761       228  0           2624        7ffd446ae560/0             sleep
17849       856  0           4104        7fffbd172190/0             crond
17851       856  0           4104        7fffbd172190/0             crond
17859       304  0           3992        7fff574167c0/0             sh
17860       304  0           3992        7fff5ee6b510/0             sh
17864       228  0           2624        7ffc58318750/0             sleep
17871       228  0           2624        7ffc5831c4a0/0             sleep
17909    107416  0           456480      7fff22036410/0             sh
17910    113468  0           459328      7ffde2a7d840/0             nxpython3
18235    113604  0           681840      7ffcc6f02770/0             vsh.bin
19063      5152  0           36200       7ffd30f5c380/0             nginx
19064      5268  0           36316       7ffd30f5c380/0             nginx
19065      5268  0           36316       7ffd30f5c380/0             nginx
19066      5160  0           36208       7ffd30f5c380/0             nginx
19228    195524  1740369     764764      7ffe508dcf60/0             port-profile
19239    111940  835914      564460      7fff26fd0f00/0             vman
19243    127256  815062      554376      7ffe7a8fae80/0             tpmon
19244    159688  1431761     507980      7ffed3dc94f0/0             spm
19245    201772  16845824    2552224     7ffc02a3da90/0             sdaa
19246    151028  0           2368500     7fffb0f132c0/0             rpm
19247    219360  12582912    736368      7ffcfa512da0/0             policy_mgr
19249    111964  1054979     457560      7ffd6fd54ba0/0             plcmgr
19250    135016  12582912    767792      7ffe98659530/0             pfstat
19266    112408  5411801     2182116     7ffe8c9f7900/0             ntp
19267    152012  1013011     776780      7ffd2c97a180/0             nia-mgr
19268    112328  16845824    2096576     7ffdd487b750/0             nbproxy
19269    141272  5592148     2203472     7ffc759d22f0/0             monitor
19270    280996  6232800     2434564     7ffde1bb7690/0             mld
19271    131740  248665681   2208712     7ffd196554b0/0             lldp
19272    123448  886803      550620      7ffcbb628fc0/0             lim
19275    388372  12582912    901216      7ffe0bc4dc60/0             l2rib
19277    110488  795490      596940      7ffcd4929780/0             kafka
19278    254588  15472640    1934212     7ffed9902100/0             ipfib
19279    110076  12582912    546804      7ffe13d9c800/0             intersight
19280    308868  0           2058948     7ffccfe7ed30/0             igmp
